label	quallab	value	StdDev	nObs	instrument	methoddesc	formationname
dacite lithology in HolyCross Pl	average  Magnetic_Susceptibility for dacite in the Holy Cross Pl	0.02101	0.02425	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00006  SI magnetic susceptibility, max susceptibility is 0.04740  SI magnetic susceptibility"	Holy Cross Pl
dacite lithology in Inzana Lake Formation	average  Magnetic_Susceptibility for dacite in the Inzana Lake Formation	0.00063	0.00072	6	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00006  SI magnetic susceptibility, max susceptibility is 0.00190  SI magnetic susceptibility"	Inzana Lake Formation
dacite lithology in Kasalka Group	average  Magnetic_Susceptibility for dacite in the Kasalka Group	0.01048	0.01156	94	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 94 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00002  SI magnetic susceptibility, max susceptibility is 0.04360  SI magnetic susceptibility"	
dacite lithology in Naglico Formation	average  Magnetic_Susceptibility for dacite in the Naglico Formation	0.00441	0.00596	18	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 18 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00010  SI magnetic susceptibility, max susceptibility is 0.01780  SI magnetic susceptibility"	Naglico Formation
dacite lithology in Nechako Formation	average  Magnetic_Susceptibility for dacite in the Nechako Formation	0.00583	0.00688	7	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 7 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00012  SI magnetic susceptibility, max susceptibility is 0.01740  SI magnetic susceptibility"	Nechako Formation
dacite lithology in Nechako Plateau Group	average  Magnetic_Susceptibility for dacite in the Nechako Plateau Group	0.00787	0.01028	22	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 22 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00006  SI magnetic susceptibility, max susceptibility is 0.03580  SI magnetic susceptibility"	
dacite lithology in Ootsa Lake Group	average  Magnetic_Susceptibility for dacite in the Ootsa Lake Group	0.00828	0.00998	132	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 132 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001  SI magnetic susceptibility, max susceptibility is 0.04250  SI magnetic susceptibility"	
dacite lithology in Skins Lake Pl	average  Magnetic_Susceptibility for dacite in the Skins Lake Pl	0.00034	0.0001	9	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00021  SI magnetic susceptibility, max susceptibility is 0.00051  SI magnetic susceptibility"	Skins Lake Pl
dacite lithology in Stag Lake Plut Suite	average  Magnetic_Susceptibility for dacite in the Stag Lake Plut Suite	0.0309	0.01041	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.02280  SI magnetic susceptibility, max susceptibility is 0.04560  SI magnetic susceptibility"	Stag Lake Plut Suite
dacite lithology in SternCk Phs	average  Magnetic_Susceptibility for dacite in the Stern Ck Phs	0.0029	0.00356	9	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00007  SI magnetic susceptibility, max susceptibility is 0.01080  SI magnetic susceptibility"	Stern Ck Phs
diamictite lithology in British Columbia	average magnetic susceptibility diamictite	0.03731	0.01965	6	SAPPHIRE SI2B MS METER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00976 SI magnetic susceptibility, max susceptibility is 0.05520 SI magnetic susceptibility"	
diamictite lithology in British Columbia	average density of unaltered diamictite	2.73	0.11	9	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.57 g/cm3, max density is 2.96 g/cm3"	
diamictite lithology in Nicola Group	average  Magnetic_Susceptibility for diamictite in the Nicola Group	0.03731	0.01965	6	SAPPHIRE SI2B MS METER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00976  SI magnetic susceptibility, max susceptibility is 0.05520  SI magnetic susceptibility"	
diamictite lithology in Nicola Group	average  Density for diamictite in the Nicola Group	2.73	0.11	9	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.57  g/cm3, max susceptibility is 2.96  g/cm3"	
dioritic_rock lithology in Aqua Creek complex	average  Density for dioritic_rock in the Aqua Creek complex	2.88	0.11	4	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.81  g/cm3, max susceptibility is 3.04  g/cm3"	Aqua Creek complex
dioritic_rock lithology in Aqua Creek complex	average  Magnetic_Susceptibility for dioritic_rock in the Aqua Creek complex	0.03965	0.04599	4	SAPPHIRE SI2B MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00150  SI magnetic susceptibility, max susceptibility is 0.09500  SI magnetic susceptibility"	Aqua Creek complex
dioritic_rock lithology in Ashman Formation	average  Magnetic_Susceptibility for dioritic_rock in the Ashman Formation	0.00137	0.00138	6	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00038  SI magnetic susceptibility, max susceptibility is 0.00351  SI magnetic susceptibility"	Ashman Formation
dioritic_rock lithology in Boer Phs	average  Magnetic_Susceptibility for dioritic_rock in the Boer Phs	0.04302	0.01782	50	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 50 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00021  SI magnetic susceptibility, max susceptibility is 0.07190  SI magnetic susceptibility"	Boer Phs
dioritic_rock lithology in British Columbia	average magnetic susceptibility dioritic_rock	0.0123	0.01564	210	GF INSTRUMENTS SM-20	"average value and standard deviation from 210 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00000 SI magnetic susceptibility, max susceptibility is 0.13200 SI magnetic susceptibility"	
